AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,,,,Martin-Gousset P.(56464302500),,,,,
,,,,Rédini-Martinez I.(56464304800),,,,,
,,,,Pasdelou M.(56464305000),,,,,
,,,,Gressard F.(56464311500),,,,,
,,,,Canovas G.(56974176900),,,,,
,,,,Matheron A.(57088863400),,,,,
,,,,Dupeyron G.(57189081283),,,,,
,,,,Jakovenko D.(57192265529),,,,,
,,,,Marmelat V.(57194630605),,,,,
,,,,Lussert J.(57199681591),,,,,
,,,,Bourret R.(57201694956),,,,,
,,,,Mercier G.(57203072909),,,,,
,,,,Bardy B.(57209446730),,,,,
,,,,Poland F.(6507156058),,,,,
,,,,Charlesworth G.(6602617245),,,,,
,,,,Moniz-Cook E.(6603716658),,,,,
,,,,Orrell M.(7006161600),,,,,
,,,,Melunsky N.(56946765000),,,,,
,,,,Feast A.(57189369700),,,,,
,,,,Turchetta R.(7003905486),,,,,
,,,,Blue A.(7004796035),,,,,
,,,,Kenney C.(7004954761),,,,,
,,,,McMahon S.(7102013970),,,,,
,,,,Segal J.(7102837109),,,,,
,,,,Liang Z.(7402178156),,,,,
,,,,Das D.(7402352958),,,,,
,,,,Warren M.(8304439100),,,,,
,,,,Plackett R.(8571229700),,,,,
,,,,Cindro V.(8791901800),,,,,
,,,,Perić I.(9043482900),,,,,
,,,,Mikuž M.(9276403600),,,,,
,,,,Zavrtanik M.(9276403700),,,,,
,,,,Gorišek A.(10045573000),,,,,
,,,,Mandić I.(11039653200),,,,,
,,,,Muenstermann D.(12645847700),,,,,
,,,,Kramberger G.(13002919700),,,,,
,,,,Huffman T.(15061588200),,,,,
,,,,Buttar C.(16427686400),,,,,
,,,,Maneuski D.(24168943900),,,,,
,,,,Affolder A.(24400894800),,,,,
,,,,Dopke J.(26326735300),,,,,
,,,,John J.(29067829200),,,,,
