AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,,,,,,,,,Widera D. (8875165400)
,,,,,,,,,Ray S. (54412960100)
,,,,,,,,,Musante L. (55311500600)
,,,,,,,,,Mitchell R. (55448666800)
,,,,,,,,,Zeuner M.T. (55832037900)
,,,,,,,,,Joch B. (56418509100)
,,,,,,,,,Chambers D. (56820990600)
,,,,,,,,,Sheard J. (57191862824)
,,,,,,,,,Tomkins J.E. (57193706536)
,,,,,,,,,Mellows B. (57195613565)
,,,,,,,,,Antonioli M. (57200747534)
,,,,,,,,,Dengjel J. (57202553907)
,,,,,,,,,De Coppi P. (57203257829)
,,,,,,,,,Grobbelaar A. (15851075100)
,,,,,,,,,Leckenby J. (55346428400)
,,,,,,,,,Chandran S. (7004332041)
,,,,,,,,,Carpenter K.L.H. (7202706619)
,,,,,,,,,Patani R. (16302224400)
,,,,,,,,,Hutchinson P.J. (25643268600)
,,,,,,,,,Gupta K. (37095085400)
,,,,,,,,,Thelin E.P. (55669665400)
,,,,,,,,,Hall C.E. (57194416399)
,,,,,,,,,Helmy A. (57219722340)
,,,,,,,,,Pendegrass C.J. (6507506415)
,,,,,,,,,Lambert S. (17635028100)
,,,,,,,,,Alexander S. (56010349100)
,,,,,,,,,Shahbazi S. (57190303591)
,,,,,,,,,Blunn G.W. (57206307303)
,,,,,,,,,Lowdell M. (7003930276)
,,,,,,,,,Birchall M.A. (7004957785)
,,,,,,,,,Hopper C. (7006171950)
,,,,,,,,,Butler C.R. (26421052200)
,,,,,,,,,Burns A.J. (35483335400)
,,,,,,,,,Gowers K.H.C. (54383218900)
,,,,,,,,,Hynds R.E. (55503347900)
,,,,,,,,,Hamilton N.J.I. (56284267000)
,,,,,,,,,Janes S.M. (56514246800)
,,,,,,,,,Tait A. (56779636700)
,,,,,,,,,Coathup M. (6603029220)
,,,,,,,,,Di Silvio L. (7003813975)
,,,,,,,,,Idowu B. (7801347140)
,,,,,,,,,Kalia P. (8582153700)
,,,,,,,,,Sanghani-Kerai A. (57193155068)
,,,,,,,,,Samazideh S. (57194694847)
